element,Atomic_Number,Atomic_Weight,Period,group,families,Metal,Nonmetal,Metalliod,Mendeleev_Number,l_quantum_number,Atomic_Radius,Miracle_Radius_[pm],Covalent_Radius,Zunger_radii_sum,ionic_radius,crystal_radius,Pauling_Electronegativity,MB_electonegativity,Gordy_electonegativity,Mulliken_EN,Allred-Rockow_electronegativity,metallic_valence,number_of_valence_electrons,gilmor_number_of_valence_electron,valence_s,valence_p,valence_d,valence_f,Number_of_unfilled_s_valence_electrons,Number_of_unfilled_p_valence_electrons,Number_of_unfilled_d_valence_electrons,Number_of_unfilled_f_valence_electrons,outer_shell_electrons,1st_ionization_potential_(kJ/mol),polarizability(A^3),Melting_point_(K),Boiling_Point_(K),Density_(g/mL),specific_heat_(J/g_K)_,heat_of_fusion_(kJ/mol)_,heat_of_vaporization_(kJ/mol)_,thermal_conductivity_(W/(m_K))_,heat_atomization(kJ/mol),Cohesive_energy
H,1,1.00794,1,1,7,0,1,0,92,0,0.53,,0.37,1.25,0.25,0.1,2.2,2.1,7.1784,7.18,2.3,0,1,1,1,0,0,0,1,6,10,14,1,1312,0.7,14.05,20.25,0.0000699,14.304,0.5868,0.44936,0.1815,218,0
He,2,4.002602,1,18,9,0,1,0,98,0,0.31,,0.32,0,0.31,0,0,0,12.0486,0,4.16,0,0,0,0,0,0,0,2,6,10,14,0,2372,0.198,0.95,4.25,0.000179,5.193,0.02,0.0845,0.152,0,0
Li,3,6.941,2,1,1,1,0,0,1,0,1.67,152,1.34,1.61,1.45,0.9,0.98,0.9,3.2223,3.01,0.912,1,1,1,1,0,0,0,1,6,10,14,1,520,24.3,453.65,1615.15,0.543,3.6,3,145.92,84.7,161,1.63
Be,4,9.01218,2,2,2,1,0,0,67,0,1.12,112,0.9,1.08,1.05,0.41,1.57,1.45,3.7942,4.9,1.576,2,2,2,2,0,0,0,0,6,10,14,2,899,5.6,1551.15,3243.15,1.85,1.82,7.95,292.4,200,324,3.32
B,5,10.811,2,13,6,0,0,1,72,1,0.87,88,0.82,0.795,0.85,0.25,2.04,1.9,4.5951,4.29,2.051,3,3,3,2,1,0,0,0,5,10,14,3,801,3,2352.15,4275,2.34,1.02,50.2,489.7,27,573,5.81
C,6,12.011,2,14,7,0,1,0,77,1,0.67,77,0.77,0.64,0.7,0.29,2.55,2.37,5.6246,6.27,2.544,4,4,4,2,2,0,0,0,4,10,14,4,1086,1.8,3640.15,5100.15,2.25,0.71,105,355.8,129,717,7.37
N,7,14.00674,2,15,7,0,1,0,82,1,0.56,72,0.75,0.54,0.65,0.3,3.04,2.85,6.8834,7.3,3.066,3,5,5,2,3,0,0,0,3,10,14,5,1402,1.1,63.25,77.35,0.00125,1.04,0.3604,2.7928,0.02598,473,4.92
O,8,15.9994,2,16,7,0,1,0,87,1,0.48,64,0.73,0.465,0.6,1.21,3.44,3.32,8.3703,7.54,3.61,0,6,6,2,4,0,0,0,2,10,14,6,1314,0.793,54.75,90.15,0.00143,0.92,0.22259,3.4099,0.02674,249,2.62
F,9,18.998403,2,17,8,0,1,0,93,1,0.42,,0.71,0.405,0.5,1.19,3.98,3.78,10.0854,10.41,4.193,0,7,7,2,5,0,0,0,1,10,14,7,1681,0.634,53.35,85.05,0.0017,0.82,0.2552,3.2698,0.0279,79,0.84
Ne,10,20.1797,2,18,9,0,1,0,99,1,0.38,,0.69,0,0.38,0,0,0,12.0317,0,4.789,0,0,0,0,0,0,0,2,6,10,14,0,2081,0.396,24.45,25.15,0.0009,0.904,0.3317,1.7326,0.0493,0,0.02
