formula,target
Dy1Rh2,155.506
Ba1Pt1,50.2714
B2Ru3Tb1,215.717
Au2In1U1,79.7778
Ca3Co4Sn13,66.55
Al1Pt1,187.544
Mo3N1Pt2,288.83299999999997
Al1Li1Si1,62.9167
Ag1S3Ta1,78.0079
Al16Pt7Zr6,145.2
Dy1Li1O2,122.211
Al1Au1Er1,93.2267
Ca1Si2,61.4176
F4Pd1Sr1,63.4892
C1Pb1Ti2,114.13799999999999
La3O7Ta1,138.221
B4Rh4Tb1,226.06900000000002
C1Ga1Ta2,190.394
Ga1Ho1O3,180.294
Al3C3Sc1,165.018
Er4Ge6Rh7,139.65
Ru3Zr1,200.044
Dy2Se3,67.3716
Ir2Lu1,220.422
Be2C1,207.489
Al2Ho3,60.4354
P1Ru1Zr1,207.208
As12Os4Th1,135.614
Eu1O3Ti1,183.13299999999998
Al2Y1,80.2778
Er3P6Pd20,151.7
I1Rb1,11.2778
C1Zr1,145.533
K1Na1S1,25.1325
Yb3Zn11,50.0556
B4Fe1,227.572
Cl5Cs1Pb2,13.7185
Ba1Pt2,104.2
Ca1F6Sn1,53.7611
P1Pt5Tl1,191.188
Ca1In2,39.6083
Cu1Ti3,96.4902
C1Nb1,205.122
B1Li2Pd3,116.77799999999999
Ba1F4Pd1,52.977
Br1Cu1,23.5711
Ga3Hf3Nb2,138.69299999999998
Al3La1Pd2,103.461
Ag1In2Na3,19.9944
S1Zn1,70.7431
Ni1Zn1,143.239
As1Ti3,107.35600000000001
O3Tb2,138.939
Al3Zr4,107.561
O1Sr1,84.7444
B4H16Hf1,3.93333
K1Sb1Zn1,25.0561
Be13U1,123.556
Ca1Ir2,161.27200000000005
Pt1Se1Si1,129.595
B2C2Er1,183.274
Mg1Sc1,49.8
Mn2Si2Y1,83.9097
Sn2Tb1,58.1059
In1Ni2Ti1,125.544
Na1Nb1S2,77.2343
O7P2Ti1,126.08200000000001
Ag1Er1Se2,51.7113
Ru2Si2Th1,161.90200000000004
Ge1Ir1Y1,137.808
Al1Cu2Zr1,127.47200000000001
Ge3La1Rh1,97.42
Ag1Al1O2,99.9056
Mn1Pd2Sn1,115.97200000000001
Pt9Sc5Si7,160.056
Au1Ti1,134.188
Ge1O6Se2,51.6339
Ge1Ru1Tb1,112.15799999999999
F1Ho1S1,110.26700000000001
B1N1,102.88
Ho1Te2,58.9661
In1Pt2Tb1,122.889
Rh5Tb1,179.787
Mn1Pd1Te1,81.7111
