formula,target
Ba1Pt1,0.182391824
B2Ru3Tb1,0.917332703
Au2In1U1,-0.17467906
Ca3Co4Sn13,-0.37462066
Al1Pt1,0.66988379
Mo3N1Pt2,0.68669167
Ag2Er1In1,-0.04234196
Al1Li1Si1,1.241122937
Ag1S3Ta1,0.5457906339999999
Al16Pt7Zr6,0.5325237979999999
Al1Au1Er1,0.31066358
Ca1Si2,0.7457959340000001
F4Pd1Sr1,0.139576863
C1Pb1Ti2,0.964770486
La3O7Ta1,0.8447150720000001
B4Rh4Tb1,0.667383834
C1Ga1Ta2,1.127810763
Ga1Ho1O3,0.631947786
Al3C3Sc1,1.308058331
Ru3Zr1,1.025219817
Dy2Se3,0.305396517
Ir2Lu1,0.83986566
Be2C1,2.1110136980000003
Al2Ho3,0.361550305
Dy1Ge1,0.879681237
P1Ru1Zr1,0.921471616
As12Os4Th1,0.689075219
Eu1O3Ti1,1.171688433
Al2Y1,1.069853021
Er3P6Pd20,-0.189727147
I1Rb1,-0.262923503
C1Zr1,0.968069004
B4Fe1,1.144670707
Cl5Cs1Pb2,-0.190720479
Ba1Pt2,0.221051522
Ca1F6Sn1,0.465659403
P1Pt5Tl1,0.279155709
Cu1Ti3,0.789347287
C1Nb1,1.429233723
B1Li2Pd3,-0.135847419
Ba1F4Pd1,-0.060718426
Er2In1Ni2,0.365055347
Ga3Hf3Nb2,0.7886773429999999
Ca2Ge2Ni3,0.5436074479999999
Ag1In2Na3,-0.626554658
S1Zn1,0.36599312
Ni1Zn1,0.810129647
As1Ti3,0.62940756
O3Tb2,0.312758989
N1Nb3Zn3,0.702021901
Al3Zr4,1.182876665
O1Sr1,1.126339247
Cd1N1,0.126650821
B4H16Hf1,1.119734142
K1Sb1Zn1,0.24608230600000006
Be13U1,1.080417225
Pt1Se1Si1,0.604636386
B2C2Er1,1.309263843
Mg1Sc1,1.108713822
Ge2Ir2Th1,0.595985354
Mn2Si2Y1,0.911905656
Sn2Tb1,0.524637546
In1Ni2Ti1,0.95533026
Na1Nb1S2,0.914252692
O7P2Ti1,0.733373035
Ag1Er1Se2,0.075357144
Ru2Si2Th1,1.208169838
Ge1Ir1Y1,0.367931492
Al1Cu2Zr1,0.810585323
Ge3La1Rh1,0.68355582
Ag1Al1O2,0.380466315
Mn1Pd2Sn1,0.311166637
Pt9Sc5Si7,0.469919169
Cu1Dy1Si1,0.891001367
Ge1Ru1Tb1,0.360937835
F1Ho1S1,0.7971310659999999
Ho1Te2,0.306648015
In1Pt2Tb1,0.263425379
Rh5Tb1,0.7844974709999999
Mn1Pd1Te1,0.196101539
Al1Rh1,1.400551804
Ba1Ce1N2,0.7072456109999999
Ga1In1Te2,0.207149453
As1Pu1,0.153711231
C1,2.0204773
B2Mo2Ru1,0.987946321
Al2Fe3Si4,0.917577448
Ba1Te2,0.165173076
Dy3Ge4,0.5129044220000001
Ni1Sc6Te2,0.549548854
Ru2Sc1,0.05923388
Ge2Th3,0.535776261
Ba1Ce1O3,0.446453282
Ba1Si2,0.397705426
In1Rb1Te2,-0.010771836000000002
As1Nb1,1.174193595
Ge1Nb1Rh1,0.78335608
B2Nb1Ni1,1.19180021
P1V1,1.2516722809999998
Ho1Rh1Sn1,0.399547394
C1Nb4Rh2,0.270415618
Dy1Ni2Si2,0.974599188
Cu2Ho1In1,0.539206619
Bi1Dy1,0.8063475520000001
F3Na1V1,0.421501921
Cl1Na1O3,0.361246068
Cs3O3Sb1,-0.464703348
Ho1Ni2Si2,0.953938397
Al6Mn1,0.8182529540000001
Pt2Si1,0.044582874
As2Ba1Cu2,0.400928075
Ca1Mg1Si1,0.715774444
In1Na5O4,0.123502106
In1Te1,0.311938132
Dy1Ga3Ru1,0.468568853
Ge13Ru4Y3,0.188461612
S4Tl3V1,0.120718672
Ge1Os1Sc1,0.953816209
Sn1,0.474366347
Ge1Pt1Zr1,0.659533054
Bi1Nb3,0.718915856
In1Ni1,0.717119382
Bi1Pd1Se1,-0.084215644
Dy1In1Rh1,0.213480568
C2La1,1.011358954
Ag1Zr1,0.6408867220000001
B2Zr1,1.946487145
Au1Ge4Rb3,-0.26490754
F2V1,0.499483631
H2Y1,1.159882874
Cu2O3Sr1,0.728172721
Er1Os2Si2,1.062724845
O6Se2Sn1,0.241601262
As1Mg1Na1,0.486454566
Ce1Co1Si2,0.8785373059999999
K1Nb1S2,0.868495142
Mg1Si1Sr1,0.5516902570000001
Dy1Rh1,0.83432913
Pt1Sb2Zr6,0.77211845
Hf1Re2,0.510945609
As1F6Na1,0.386240274
Al3Ir1,0.5593403570000001
Pt2Si2Th1,0.6313219870000001
Pd1Sr1,0.355777071
Ga7Ni3,0.217059971
La1N1,0.6390619479999999
Ir1Mn3Si1,0.334805468
Ir2Th1,0.78006372
Pd1Th1,0.038353861
O2Re1,1.133781535
B7Mo3Y1,0.997919095
Ag2Ca1Ge2,0.24095091
In2Rh1Yb1,0.18792099
Ag1Al1S2,0.702734608
Ge13Lu3Rh4,0.16262414
O7Ru2Y2,0.677688147
B1Co1W1,1.203264123
In1Li2Pt1,0.126141152
Au1Cu3,0.480354814
Pt1Sn1Sr1,0.008071885
Os2Tb1,0.237325028
Ba1O3Pr1,0.847261015
Er1Mg2,0.227346713
As2Ni1,0.5166913479999999
H3Pd1Yb1,0.481604563
Cu1Sn1Y1,0.725770382
F6K2Ni1,0.334825557
O7V2Y2,0.794449007
C1Ge1Ni3,0.63366132
Al1O2Rb1,0.7260063179999999
Co1Si1V1,1.064424293
Ca3N2,0.238427512
K2O1,0.246678269
B2Hf3Ir5,0.7383333540000001
Se1Tl1,-0.15027417
Ho1In1Pd1,0.127739571
Co1O6Pt3,0.64750522
In1Te2Tl1,0.029671859
Sn1Y1Zn1,0.457473135
Fe2In1Ti1,1.095144933
Br1Li3O1,0.70597911
Cu1Na1Se1,0.267117732
In1Pt2Sc1,0.44220374
In1Pd2Tb2,0.271811414
Si1Sr1Zn1,0.727185706
Nb3Si2,1.1780412
As2K2Ni1,0.13466788300000002
Pu1Ru1,-0.302429809
K1,-0.402738228
Hf1N2,0.8297924809999999
C2Os1,1.592610835
Fe1Hf4P1,0.413859459
Ag1Al1Se2,0.11063684
Al1Mn1Ni2,1.020907951
Cr3N1Pt1,0.56499728
Ho1Os2,0.247093973
As2O6Sr1,0.598476432
Ba1Ga2,0.514859748
Mg1Pt1Sb1,0.430544266
Re2Sc1,0.661884589
Ge1O2,0.933074056
Ge3La2Li2,0.497874662
Au1Ga2,-0.118981309
P1U1,0.7582834509999999
Cl6Te1Tl2,-0.10270893
K1Nb1O3,1.106303112
Pd1Sb1Tb1,0.414508739
O4Pd3Sr1,0.376494835
As1Ga1,0.32486661
Sb1,0.584188698
Pt1Sb1Se1,0.196971617
Ca1O2,1.222617638
Ru4Sb12Sr1,0.308308243
Fe1Sb1V1,0.973784343
Bi1,0.491687993
Cu1Pt7,0.358266156
