formula,target
N1Nd1,-8.82146
Dy1Rh2,-4.8773300000000015
Pb1Pd1Yb1,-3.12894
Ga1S1,-3.9351599999999998
Tb1Zn1,-2.82762
La2O7Si2,-8.16438
Cu4Dy3Sn4,-3.89218
K1O8P1V2,-6.83149
Cl1H3O5,-4.5054099999999995
Er1Ni1Si2,-5.16315
Cl1Tl1,-3.07524
Er1Ni4P2,-4.14882
Ce1Ir2,-5.9729800000000015
Er5Si4,-5.69329
O2V1,-7.9176699999999975
H4O6P2Sr1,-6.0725
I3Pb2S2Sb1,-3.54685
Be12Ti1,-3.86907
B1H3Mg3O6,-6.07049
Be12Mo1,-4.19436
Ga1H4K1,-3.02405
Au1B2,-4.2537
B2Ru3Tb1,-6.37017
Al1N1Ti3,-6.15225
Cr1O2,-7.46743
Cu3Nd1O12Ru4,-6.04505
Fe1La1O3,-7.52877
Au2In1U1,-3.92164
Cr2Ni1S4,-5.35859
N1V1,-8.35775
Hg1I2,-1.42514
Al5B1O9,-7.6244
C1Re1,-8.409460000000001
Al1Co2V1,-4.6681099999999995
Fe5O12Si3,-7.27035
O1Ti1,-7.069560000000001
Cu2K1S4V1,-4.3771900000000015
Ni3O1Ti3,-4.56039
Ti1,-4.7908300000000015
Te2W1,-5.71071
C4Cd2H12O14,-5.72039
Pu1Te1,-9.785739999999999
Ir4Sm3Sn13,-5.57559
O9P3Sc1,-7.571510000000001
B10Ba2H2Na2O19,-7.40917
I12Pt1Tb7,-4.0083400000000005
C3H6N2O2,-6.17466
Ca3Co4Sn13,-3.46454
Al1Fe1,-3.9371099999999997
Mn1N2Si1,-8.14349
Se1,-3.4828900000000003
Cd1I2,-1.77509
Al2.3Sr2.7,-2.83576
Bi1Cr1O3,-6.8684899999999995
H2Sr1,-3.3065599999999997
Nd3Te4,-6.08066
Dy2Si4Ti3,-5.8442099999999995
La1Te3,-4.58269
Ba2N1,-4.45792
Ge1Ho1Ir1,-5.9863599999999995
Ba3Ir2O9Sr1,-6.20913
B1Ca3N3,-6.47457
Cd2Sr1,-1.18242
O4S1Zn1,-5.58293
Al1Li1Si1,-3.9100800000000002
Ag1S3Ta1,-5.306719999999999
Eu1F3,-7.27054
La2Ni1O4,-7.20115
P1Pr1,-6.33435
Cl2Co5O12Se4,-5.31642
Rb3Sb1Se4,-3.4929
La1Se1,-6.01567
S3Y2,-7.14043
Be2Ge1La2O7,-7.4790899999999985
Ag1,-0.42085900000000004
B1H4Na1,-3.9207400000000003
Al1,-3.74356
O3Sc2,-8.58428
O4P1V1,-7.70642
Cu2Si2Y1,-4.9134699999999984
Fe23Ho6,-4.9513
La1Se1Te2,-4.83461
Hf1Pd1Si1,-6.93164
Cu1F2,-3.5436900000000002
In5Ir1La1,-3.8201199999999997
Se1Sn1,-4.01455
Na1O2,-4.54171
O9V4,-7.73866
In3Sr5,-2.35984
Ir1Sn1U1,-6.78348
C6Co1Cr1H18N12,-6.03188
Be6Cd8O24S2Si6,-6.26727
Br1Cr1S1,-5.19816
Al16Pt7Zr6,-5.6094800000000005
Ba1F6Tb1,-5.6959
Nb1Ni1Te5,-4.08659
Bi3Tb5,-5.13579
Eu2I5K1,-5.17275
Al1Ca1F6Na1,-5.58551
Dy1Li1O2,-7.0511399999999975
Cd5Cl1O12P3,-5.60114
O3Pr2,-8.51776
Cu10Sn3,-2.53431
Gd1Mn2,-6.72681
H2K1La1O9S2,-6.2390099999999995
Ce1Co5,-3.7356300000000013
Ge1Ho1Pd2,-4.50684
O6P4S4,-6.079359999999999
Ge2La1Ni2,-4.20565
Ca1Mn1O6Si2,-7.70105
S1Ti1,-5.6801900000000005
Er1Mg1,-3.14357
La1Li2O7Ta2,-8.07997
Co2Nb4Pd1Se12,-5.15402
Cd1Li1O4P1,-6.01267
Al1Nb3,-7.4276399999999985
O9Ti3V2,-7.753189999999999
H6K2O6Sn1,-5.0309099999999995
Ag3As2K3,-2.10318
Ni1Sb2,-3.62221
Co1S1Sb1,-4.05422
Cd1Er2Se4,-4.88401
Cu1In1O2,-4.90741
Pd1Zr1,-6.12953
Ag2Mo1O4,-5.3833400000000005
Bi2Cl1O4Y1,-6.55841
C8H20N10Ni1,-5.9850900000000005
Cr1,-5.5647699999999976
Al2Y1,-5.1843699999999995
Co1Ga2Hf6,-7.8350100000000005
F2Hg2,-2.29427
Mn1O4W1,-8.392489999999999
Li16N8Nb2O1,-5.3101199999999995
Pu1Rh2,-7.27314
In1Ni2,-2.2562900000000004
Ba6Cu11F34,-4.456519999999999
As2Nd1Ni2,-4.00366
Mo3Pt1,-6.97892
Fe2O7Sr3,-6.39112
Ca1O3Si1,-7.249110000000001
F4Pd1Sr1,-4.68905
Cl3La3O6U1,-7.4396
B2K3Nb3O12,-7.66472
C1Pb1Pt3,-4.42204
Cs2S1,-2.93686
Ge1Mn2Te4,-3.71225
Fe1Sc2Si2,-5.54611
Ho1Si1,-5.83067
Nd1Rb1S2,-5.785
La1Mn1O3,-7.918189999999999
Ga2Mg5,-1.8838
Au1Cu1,-1.8326200000000001
Bi1Ce1,-4.64232
K1O4Sr1V1,-6.76733
Ge1Li8O6,-5.21924
Ga1Ti3,-4.47992
Er1H3,-4.08708
Ge4Y5,-6.4817300000000015
Al6Ca4O13,-7.171589999999999
P1U1,-8.220469999999999
Na1O5P1V1,-7.118239999999999
Cl2N4O12S10,-5.4553400000000005
La3O7Ta1,-8.62557
Ni2Se2Tl1,-2.94244
Mg2P2Se6,-4.10227
Al2U1,-5.56749
Ni1,-2.0447
As12Ce1Fe4,-4.70985
Rb2Te1,-2.68043
Sb3Zr5,-7.56521
Al1As1O4,-6.677919999999999
H2O4Se1,-5.0018400000000005
B2Hf1,-8.80148
Ba1F4Zn1,-4.89013
Cr1H18I7N6,-4.41897
Ga1O4P1,-6.7541199999999995
As2Cd1Ge1,-3.6646400000000003
Ga1Ho1O3,-7.13421
C3Th2,-8.070319999999999
La1Ni5,-2.68646
Cr6Ge6Sc1,-5.77771
C2Co1Y1,-7.226660000000001
C6Fe1K3N6,-7.1913100000000005
Cr1P1,-6.63088
Ge2Pd2Th1,-4.94609
Sb1Se1Th1,-5.7934800000000015
Ho1Mg1,-3.1568099999999997
Na2Nb4O11,-8.00033
Cr2O3,-7.9785
Al2Hg1Se4,-3.79905
Hg1Na2S2,-3.00228
Ho1O4V1,-8.15198
Co1Sn1U1,-5.39733
Al2Er1,-4.5273699999999995
Co1Na4O3,-4.34004
Al2Ni6Tb3,-3.54702
Co1Li1N2Sr2,-4.85989
Al3C3Sc1,-6.6315
Te1Zn1,-2.33359
Er4Ge6Rh7,-5.26114
Ru3Zr1,-6.648639999999999
Al1F5K2,-5.16822
B1Nd1S3,-6.38972
Co1Hf1Sn1,-5.90343
B1Ca1H1O5Si1,-7.252639999999999
As1F5N4S4,-5.204269999999998
Ge1In7Ir1O8,-5.3963
O64Si32,-7.90768
Sb2Te3,-3.61076
Cl4H2Hg1K2O1,-3.4369699999999996
Ca1S1,-5.21914
B1C3H12N1,-5.07015
Fe3Si1,-5.18663
Sb2Tb1,-4.49726
Dy2Se3,-5.79884
Ag3O4Sb1,-3.9492
B6Ca1,-6.43096
O2Ti1,-8.04767
Bi1Cl1O3Se1,-5.04931
Ge1Mg1O3,-6.16978
Ag2Si2Yb1,-2.7840700000000003
O5P2,-7.0148600000000005
Ga16Hf6Rh7,-4.963419999999998
O3Sr1Zr1,-8.2541
Ag1Se2Y1,-4.74301
As1Ga1O4,-5.9853
Ce3Te4,-5.42751
As3Ca5,-4.10926
Te2U1,-5.9762699999999995
Zn2Zr1,-3.41304
Ca1Mo6S8,-6.4154300000000015
C2H6O12U2,-6.9996300000000025
F1K1O6Te3,-5.189369999999999
Ir2Lu1,-6.38183
O1Zr3,-9.02169
Ga2Pr1,-4.11661
Be2C1,-5.8003300000000015
Al2Ho3,-4.57154
Rh1Si1U1,-6.8093600000000025
C1Ta1,-10.2319
Al1B14Yb1,-6.34443
Cu5Mg16Y5,-2.78698
F2Ni1,-4.36239
U1,-7.02617
Ag1Si1Yb1,-2.577
Al2Na7Sb5,-3.0563700000000003
As1Na3,-2.57425
As2Sn2Sr1,-4.22118
Ru2Y1,-6.28615
Cr1Sb1,-5.68605
Sc1,-5.1192
La3Ni2O6,-6.9337100000000005
