symbol,row,column,name,count
He,1,18,Helium,0
Ne,2,18,Neon,0
Ar,3,18,Argon,0
Kr,4,18,Krypton,0
Xe,5,18,Xenon,0
Pm,9,8,Promethium,0
Po,6,16,Polonium,0
At,6,17,Astatine,0
Rn,6,18,Radon,0
Fr,7,1,Francium,0
Ra,7,2,Radium,0
Ac,10,4,Actinium,0
Pa,10,6,Protactinium,0
Np,10,8,Neptunium,0
Pu,10,9,Plutonium,0
Am,10,10,Americium,0
Cm,10,11,Curium,0
Bk,10,12,Berkelium,0
Cf,10,13,Californium,0
Es,10,14,Einsteinium,0
Fm,10,15,Fermium,0
Md,10,16,Mendelevium,0
No,10,17,Nobelium,0
Lr,10,18,Lawrencium,0
Rf,7,4,Rutherfordium,0
Db,7,5,Dubnium,0
Sg,7,6,Seaborgium,0
Bh,7,7,Bohrium,0
Hs,7,8,Hassium,0
Mt,7,9,Meitnerium,0
Ds,7,10,Darmstadtium,0
Rg,7,11,Roentgenium,0
Cn,7,12,Copernicium,0
Nh,7,13,Nihonium,0
Fl,7,14,Flerovium,0
Mc,7,15,Moscovium,0
Lv,7,16,Livemorium,0
Ts,7,17,Tennessine,0
Og,7,18,Oranesson,0
Tc,5,7,Technetium,0
Tm,9,16,Thulium,0
Re,6,7,Rhenium,0
Be,2,2,Beryllium,0
U,10,7,Uranium,0
Hf,6,4,Hafnium,0
Rh,5,9,Rhodium,0
Au,6,11,Gold,0
Os,6,8,Osmium,0
Ho,9,14,Holmium,0
Ir,6,9,Iridium,0
Ni,4,10,Nickel,0
Ru,5,8,Ruthenium,0
W,6,6,Tungsten,0
Th,10,5,Thorium,0
Pt,6,10,Platinum,0
Tb,9,12,Terbium,0
Lu,9,18,Lutetium,0
Co,4,9,Cobalt,0
Er,9,15,Erbium,0
Pd,5,10,Palladium,0
Cr,4,6,Chromium,0
Zr,5,4,Zirconium,0
Dy,9,13,Dysprosium,0
Nd,9,7,Neodymium,0
Sc,4,3,Scandium,0
Pr,9,6,Praseodymium,0
Mg,3,2,Magnesium,0
Yb,9,17,Ytterbium,0
Fe,4,8,Iron,0
Ce,9,5,Cerium,0
Ti,4,4,Titanium,0
Ca,4,2,Calcium,0
Mn,4,7,Manganese,0
Mo,5,6,Molybdenum,0
Gd,9,11,Gadolinium,0
Nb,5,5,Niobium,0
Sr,5,2,Strontium,0
Sm,9,9,Samarium,0
V,4,5,Vanadium,0
Br,4,17,Bromine,0
Ta,6,5,Tantalum,0
Eu,9,10,Europium,0
Al,3,13,Aluminum,0
Y,5,3,Yttrium,0
Cl,3,17,Chlorine,0
F,2,17,Fluorine,0
La,9,4,Lanthanum,0
Tl,6,13,Thallium,0
Si,3,14,Silicon,0
Li,2,1,Lithium,0
Na,3,1,Sodium,0
Rb,5,1,Rubidium,0
Hg,6,12,Mercury,0
Ag,5,11,Silver,0
Zn,4,12,Zinc,0
Cs,6,1,Cesium,0
H,1,1,Hydrogen,0
Pb,6,14,Lead,0
K,4,1,Potassium,0
Sn,5,14,Tin,0
Ba,6,2,Barium,0
Bi,6,15,Bismuth,0
Cd,5,12,Cadmium,0
As,4,15,Arsenic,0
Cu,4,11,Copper,0
Ge,4,14,Germanium,0
N,2,15,Nitrogen,0
Sb,5,15,Antimony,0
In,5,13,Indium,0
Ga,4,13,Gallium,0
I,5,17,Iodine,0
Te,5,16,Tellurium,0
P,3,15,Phosphorus,0
B,2,13,Boron,0
O,2,16,Oxygen,0
Se,4,16,Selenium,0
C,2,14,Carbon,0
S,3,16,Sulfur,0
