formula,target
N1Nd1,0.0
Dy1Rh2,0.0
Ga1S1,1.71
Tb1Zn1,0.0
La2O7Si2,4.9727
Cu4Dy3Sn4,0.0
Au1Te2,0.0
K1O8P1V2,0.0383
Cl1H3O5,5.2712
Er1Ni1Si2,0.0
Cl1Tl1,2.1732
Ce1Ir2,0.0
Er5Si4,0.0
O2V1,0.8390000000000001
Bi1Pt1Yb1,0.0
Al2Pt1,0.0
H4O6P2Sr1,6.5081
Cu1In1Te2,0.2499
I3Pb2S2Sb1,1.7673
Be12Ti1,0.0
B1H3Mg3O6,3.4819999999999998
Be12Mo1,0.0
Ga1H4K1,4.9813
Au1B2,0.0
B2Ru3Tb1,0.0
Al1N1Ti3,0.0
Hg3Te4Tl2,0.4721
Cr1O2,0.0
Pt23Si11U3,0.0
Au2In1U1,0.0
Cr2Ni1S4,0.0
N1V1,0.0
Hg1I2,1.1852
Al5B1O9,4.9438
C1Re1,0.0
Al1Co2V1,0.0
O1Pb1,1.6621
F9O1Re1Sb1,1.8981
Fe5O12Si3,1.9058
O1Ti1,0.0
Cu2K1S4V1,1.3382
Ni3O1Ti3,0.0
Mg3Pr1,0.0
C4Cd2H12O14,3.5679
Pu1Te1,0.0
Ca2In1N1,0.0
Ir4Sm3Sn13,0.0
O9P3Sc1,5.4608
I12Pt1Tb7,0.1354
C3H6N2O2,4.7005
Ca3Co4Sn13,0.0
Al1Fe1,0.0
Mn1N2Si1,2.4237
Se1,0.9708
Cd1I2,2.3708
Al2.3Sr2.7,0.0
Bi1Cr1O3,1.4191
H2Sr1,1.2972
Ba1Mg2,0.0
Dy2Si4Ti3,0.0
La1Te3,0.0
Ba2N1,0.0
Ge1Ho1Ir1,0.0
Ba3Ir2O9Sr1,0.1945
B1Ca3N3,0.5858
Cd2Sr1,0.0
O4S1Zn1,4.4503
Al1Li1Si1,0.113
Eu1F3,0.8116
La2Ni1O4,0.3037
Cl2Co5O12Se4,3.2502
Rb3Sb1Se4,1.3257
La1Se1,0.0
S3Y2,1.4901
Be2Ge1La2O7,4.0034
Ag1,0.0
B1H4Na1,6.3224
Au2Eu2Sn5,0.0
O3Sc2,4.2751
Ba1Cu1Er2O5,1.4443
Cu2Si2Y1,0.0
Fe23Ho6,0.0
As1Mn1Rh1,0.0
La1Se1Te2,0.0
Hf1Pd1Si1,0.0
Br9Rb3Sb2,1.9091
Pd1Si1,0.0
Br4Rb2Zn1,3.7661
Na1O2,0.0
O9V4,0.0
Co1La1O3,0.0991
Ir1Sn1U1,0.0
C6Co1Cr1H18N12,0.7784
Br1Cr1S1,0.7609999999999999
Al16Pt7Zr6,0.0
Ba1F6Tb1,0.0
Nb1Ni1Te5,0.0
Er1Si1,0.0
Al1Ca1F6Na1,7.1209
Dy1Li1O2,4.5771
Cd5Cl1O12P3,2.2236
O3Pr2,3.1722
Cu10Sn3,0.0
Gd1Mn2,0.0
Ce1Co5,0.0
Ge1Ho1Pd2,0.0
Ge2La1Ni2,0.0
Ca1Mn1O6Si2,3.3196
