formula,target
Dy1Rh2,2.456833483
Ba1Pt1,2.191529259
B2Ru3Tb1,2.597904606
Au2In1U1,2.116813553
Ca3Co4Sn13,2.318799758
Al1Pt1,2.51167485
Mo3N1Pt2,2.618955504
Al1Li1Si1,2.824756958
Ag1S3Ta1,2.433010956
Al16Pt7Zr6,2.611846465
Dy1Li1O2,2.633327034
Al1Au1Er1,2.374104674
Ca1Si2,2.670600197
F4Pd1Sr1,2.470962931
C1Pb1Ti2,2.579128232
La3O7Ta1,2.622756811
B4Rh4Tb1,2.640396955
C1Ga1Ta2,2.5950584
Ga1Ho1O3,2.66596915
Al3C3Sc1,2.9700933860000003
Er4Ge6Rh7,2.538714455
Ru3Zr1,2.505487782
Dy2Se3,2.381953966
Ir2Lu1,2.456648385
Be2C1,3.223874777
Al2Ho3,2.38352993
P1Ru1Zr1,2.644091803
As12Os4Th1,2.574231576
Eu1O3Ti1,2.752187554
Al2Y1,2.6748207390000003
Er3P6Pd20,2.386921461
I1Rb1,2.041009547
C1Zr1,2.4907476440000003
K1Na1S1,2.48756256
Yb3Zn11,2.349652394
B4Fe1,3.0236269030000003
Cl5Cs1Pb2,2.128079246
Ba1Pt2,2.282447635
Ca1F6Sn1,2.535740846
P1Pt5Tl1,2.337463255
Ca1In2,2.393610296
Cu1Ti3,2.567837703
C1Nb1,2.678274304
B1Li2Pd3,2.453532376
Ba1F4Pd1,2.362949693
Br1Cu1,2.196184478
Ga3Hf3Nb2,2.546273614
Al3La1Pd2,2.53486848
Ag1In2Na3,2.212142308
S1Zn1,2.5525648
Ni1Zn1,2.575454577
As1Ti3,2.586811145
O3Tb2,2.564909769
Al3Zr4,2.668622571
O1Sr1,2.624266622
B4H16Hf1,2.428175305
K1Sb1Zn1,2.3389841
Be13U1,2.933481214
Ca1Ir2,2.457813796
Pt1Se1Si1,2.534216544
B2C2Er1,2.800855178
Mg1Sc1,2.595802545
Mn2Si2Y1,2.656085739
Sn2Tb1,2.354436918
In1Ni2Ti1,2.531716437
Na1Nb1S2,2.634756298
O7P2Ti1,2.828325348
Ag1Er1Se2,2.2935150280000003
Ru2Si2Th1,2.612903536
Ge1Ir1Y1,2.4041355490000003
Al1Cu2Zr1,2.558146744
Ge3La1Rh1,2.471375334
