formula,target
Dy1Rh2,60.3346
Ba1Pt1,19.9604
B2Ru3Tb1,83.4031
Au2In1U1,17.5608
Ca3Co4Sn13,22.6237
Al1Pt1,74.859
Mo3N1Pt2,130.059
Al1Li1Si1,55.4704
Ag1S3Ta1,32.9161
Al16Pt7Zr6,83.1316
Dy1Li1O2,62.2611
Al1Au1Er1,41.581
Ca1Si2,40.0246
F4Pd1Sr1,24.4638
C1Pb1Ti2,69.6375
La3O7Ta1,70.2015
B4Rh4Tb1,89.3848
C1Ga1Ta2,109.60600000000001
Ga1Ho1O3,84.7834
Al3C3Sc1,137.85
Er4Ge6Rh7,77.711
Ru3Zr1,62.9049
Dy2Se3,34.9565
Ir2Lu1,92.1875
Be2C1,231.835
Al2Ho3,34.0672
P1Ru1Zr1,90.61200000000001
As12Os4Th1,91.6409
Eu1O3Ti1,106.448
Al2Y1,60.878
Er3P6Pd20,36.001
I1Rb1,5.62036
C1Zr1,30.2085
K1Na1S1,15.7058
Yb3Zn11,26.101
B4Fe1,177.17
Cl5Cs1Pb2,7.976560000000001
Ba1Pt2,36.224000000000004
Ca1F6Sn1,23.1592
P1Pt5Tl1,50.4164
Ca1In2,28.4349
Cu1Ti3,42.588
C1Nb1,76.5578
B1Li2Pd3,30.5607
Ba1F4Pd1,16.8141
Br1Cu1,9.510710000000001
Ga3Hf3Nb2,84.6381
Al3La1Pd2,49.6809
Ag1In2Na3,9.28715
S1Zn1,36.0505
Ni1Zn1,60.7938
As1Ti3,49.0941
O3Tb2,61.7629
Al3Zr4,79.7546
O1Sr1,55.0536
B4H16Hf1,5.81964
K1Sb1Zn1,17.6499
Be13U1,138.3
Ca1Ir2,69.5119
Pt1Se1Si1,70.3267
B2C2Er1,123.236
Mg1Sc1,29.1006
Mn2Si2Y1,61.8221
Sn2Tb1,35.0095
In1Ni2Ti1,51.9468
Na1Nb1S2,49.6737
O7P2Ti1,65.0563
Ag1Er1Se2,22.3381
Ru2Si2Th1,98.5712
Ge1Ir1Y1,44.416000000000004
Al1Cu2Zr1,50.4784
Ge3La1Rh1,46.1256
Ag1Al1O2,34.2327
Mn1Pd2Sn1,34.3058
Pt9Sc5Si7,72.3739
Au1Ti1,50.6617
