formula,target
Ba1Pt1,-4.17766386
B2Ru3Tb1,-4.530098493000001
Au2In1U1,-4.152006822
Ca3Co4Sn13,-4.17655642
Al1Pt1,-4.4667072260000005
Mo3N1Pt2,-4.655702063000001
Ag2Er1In1,-4.11962378
Al1Li1Si1,-4.174815441000002
Ag1S3Ta1,-4.383872271
Al16Pt7Zr6,-4.455040706
Al1Au1Er1,-4.320944775
Ca1Si2,-4.162944025
F4Pd1Sr1,-4.077948039
C1Pb1Ti2,-4.459153935
La3O7Ta1,-4.492769045
B4Rh4Tb1,-4.525656964
C1Ga1Ta2,-4.620814179
Ga1Ho1O3,-4.4186603060000005
Al3C3Sc1,-4.57381743
Ru3Zr1,-4.636493316
Dy2Se3,-4.349094398
Ir2Lu1,-4.601969667
Be2C1,-4.7425422280000005
Al2Ho3,-4.330851476
Dy1Ge1,-4.329554677
P1Ru1Zr1,-4.591131103
As12Os4Th1,-4.472693685
Eu1O3Ti1,-4.442106796
Al2Y1,-4.345561612
Er3P6Pd20,-4.352814659
I1Rb1,-3.541677979
C1Zr1,-4.540520058999999
B4Fe1,-4.403127023
Cl5Cs1Pb2,-3.933089196
Ba1Pt2,-4.297356677
Ca1F6Sn1,-4.175730293
P1Pt5Tl1,-4.444803946
Cu1Ti3,-4.261739638
C1Nb1,-4.623821024
B1Li2Pd3,-4.184285477
Ba1F4Pd1,-4.0612216760000015
Er2In1Ni2,-4.299324833
Ga3Hf3Nb2,-4.53568337
Ca2Ge2Ni3,-4.275775757
Ag1In2Na3,-3.693448456
S1Zn1,-4.208999578
Ni1Zn1,-4.126691607
As1Ti3,-4.313717745
O3Tb2,-4.435695012
N1Nb3Zn3,-4.515285999
Al3Zr4,-4.492428806
O1Sr1,-4.23407452
Cd1N1,-4.146145495
B4H16Hf1,-4.180725279
K1Sb1Zn1,-3.924234122
Be13U1,-4.354776254
Pt1Se1Si1,-4.409412265
B2C2Er1,-4.551448261
Mg1Sc1,-4.220158295
Ge2Ir2Th1,-4.550086753
Mn2Si2Y1,-4.230717963
Sn2Tb1,-4.258320632
In1Ni2Ti1,-4.465315333
Na1Nb1S2,-4.366666904
O7P2Ti1,-4.584639301
Ag1Er1Se2,-4.232638542
Ru2Si2Th1,-4.592512219
Ge1Ir1Y1,-4.469553119
Al1Cu2Zr1,-4.341812058
Ge3La1Rh1,-4.341185663
Ag1Al1O2,-4.304751294
Mn1Pd2Sn1,-4.216656793
Pt9Sc5Si7,-4.479901804
Cu1Dy1Si1,-4.337431978
Ge1Ru1Tb1,-4.439658102
F1Ho1S1,-4.330815195
Ho1Te2,-4.320088108
In1Pt2Tb1,-4.403449085
Rh5Tb1,-4.497781883
Mn1Pd1Te1,-4.2121309280000006
Al1Rh1,-4.505262562
Ba1Ce1N2,-4.404541257
Ga1In1Te2,-4.049040589
As1Pu1,-4.223033817
C1,-5.251704964
B2Mo2Ru1,-4.67568873
Al2Fe3Si4,-4.469510869
Ba1Te2,-4.127285042
Dy3Ge4,-4.326138059
Ni1Sc6Te2,-4.3036165230000005
Ru2Sc1,-4.352221063
Ge2Th3,-4.465397757
Ba1Ce1O3,-4.397597051
Ba1Si2,-4.178496297
